17.56756,89.0,21.97399,40.0
8.333344,78.0,20.57438,40.0
15.27777,82.0,14.20117,40.0
0.0,87.0,34.06073,40.0
0.0,84.0,32.62057,40.0
16.66667,87.0,23.74712,40.0
13.09524,80.0,36.63409,40.0
2.777773,80.0,26.69163,40.0
12.5,76.0,13.65039,40.0
17.85714,76.0,20.46975,40.0
2.777785,91.0,26.9116,40.0
2.777773,90.0,41.21396,40.0
8.333331,87.0,36.37292,40.0
2.777785,100.0,45.52332,40.0
15.27777,90.0,33.17061,40.0
16.66667,86.0,30.8362,40.0
15.27777,80.0,53.45246,40.0
29.16667,89.0,56.18376,40.0
45.83334,100.0,47.25846,40.0
34.5238,100.0,30.11053,40.0
34.72221,87.0,29.62348,40.0
12.5,89.0,46.3657,40.0
22.22223,100.0,37.90775,40.0
11.11111,86.0,24.77541,40.0
4.166669,83.0,39.67217,40.0
5.555558,85.0,27.27038,40.0
17.85714,83.0,38.96083,40.0
5.555558,91.0,36.05904,40.0
6.944442,80.0,15.02549,40.0
1.38889,82.0,29.2899,40.0
18.05556,83.0,36.99473,41.0
9.722227,78.0,15.20076,41.0
6.944442,79.0,23.70645,41.0
1.38889,80.0,33.09262,41.0
9.722233,78.0,37.01537,41.0
13.09524,81.0,13.35457,41.0
19.44445,83.0,34.27418,41.0
4.166669,80.0,27.73901,41.0
20.83333,84.0,28.61632,41.0
16.66666,81.0,26.23845,41.0
17.85715,99.0,46.55353,41.0
20.83333,95.0,35.63721,41.0
8.333331,88.0,31.75784,41.0
16.66667,82.0,25.81256,41.0
19.44444,78.0,14.86667,41.0
0.0,81.0,20.17701,41.0
0.0,82.0,33.18634,41.0
4.166675,78.0,22.74051,41.0
1.38889,88.0,24.33021,41.0
1.38889,80.0,24.48,41.0
2.380949,82.0,23.08701,41.0
8.333331,83.0,19.52211,41.0
4.166669,78.0,26.18147,41.0
13.09524,80.0,29.71884,41.0
4.166675,79.0,25.83791,41.0
6.944448,83.0,39.16933,41.0
5.555558,84.0,27.34291,41.0
15.27777,89.0,21.90574,41.0
6.944442,80.0,26.65998,41.0
13.88888,75.0,32.02451,41.0
20.83334,83.0,29.55999,41.0
6.944448,78.0,29.49719,41.0
0.0,82.0,16.99706,41.0
8.333331,78.0,30.84624,41.0
9.722215,80.0,20.43258,41.0
26.38889,81.0,20.88455,41.0
16.66667,82.0,31.28558,41.0
2.777773,83.0,25.34713,41.0
9.259254,80.0,17.64265,41.0
5.555558,86.0,28.42434,41.0
4.166669,87.0,43.54925,41.0
6.944442,85.0,16.31248,41.0
5.555558,80.0,30.13305,41.0
1.38889,79.0,27.83859,41.0
6.944448,81.0,18.60109,41.0
4.166669,76.0,20.49498,41.0
8.333331,79.0,20.9445,41.0
0.0,78.0,24.77555,41.0
30.55555,84.0,20.61224,41.0
8.333344,84.0,26.76642,41.0
13.88889,77.0,29.79316,41.0
4.166669,86.0,29.35181,41.0
9.722215,89.0,30.8694,41.0
8.333331,82.0,36.1176,41.0
26.38889,94.0,40.473,41.0
44.44444,89.0,33.95047,41.0
6.944448,79.0,13.15383,41.0
11.11112,75.0,46.15633,41.0
16.66666,98.0,47.10577,41.0
13.88889,96.0,39.68116,41.0
15.27779,90.0,39.42602,40.0
27.38095,88.0,29.63557,40.0
4.166675,82.0,29.86738,40.0
4.166669,80.0,22.49551,40.0
6.944442,86.0,32.5075,40.0
11.11112,83.0,20.40106,40.0
1.38889,75.0,24.6902,40.0
5.555552,80.0,18.76467,40.0
23.61112,79.0,18.46936,40.0
0.0,85.0,38.14774,40.0
