,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/hdd/0/temperature/0,/hdd/0/load/0,AVG CPU TEMP
Time,CPU Core #1,CPU Core #2,CPU Total,CPU Core #1,CPU Core #2,CPU Package,CPU Core #1,CPU Core #2,CPU Package,CPU Cores,CPU Graphics,Bus Speed,Memory,Used Memory,Available Memory,Temperature,Used Space,
11/23/2021 23:35:24,0,1.53846145,0.7692337,37,37,38,1197.2804,1197.2804,1.78150713,0.298224181,0.00563547,99.77336,26.1727219,2.06195831,5.8163147,44,23.2809753,37.33333333
11/23/2021 23:35:25,0,3.871268,1.935637,37,37,38,1197.28027,1197.28027,1.80238545,0.313364178,0.005699991,99.77335,26.169281,2.06168747,5.81658554,44,23.2809753,37.33333333
11/23/2021 23:35:26,0.7692337,2.30768919,1.53846145,37,37,38,1197.28052,1197.28052,1.92905521,0.4175132,0.008108086,99.77338,26.0778656,2.05448532,5.82378769,44,23.2809753,37.33333333
11/23/2021 23:35:27,0,2.34375,1.171875,37,38,38,1197.28,1197.28,1.8190285,0.325384468,0.005754751,99.77334,26.1328659,2.05881882,5.819454,44,23.2809753,37.66666667
11/23/2021 23:35:28,0.793647766,2.34375,1.56869888,37,37,38,1197.28027,1197.28027,1.91867125,0.40845567,0.005813549,99.77335,26.07138,2.05397415,5.824299,44,23.2809753,37.33333333
11/23/2021 23:35:29,0,2.34375,1.171875,36,36,38,1197.2804,1197.2804,1.82976711,0.328439176,0.0054927,99.77337,26.06784,2.05369568,5.82457733,44,23.2809753,36.66666667
11/23/2021 23:35:30,0.78125,1.5625,1.171875,38,38,39,1197.28015,1197.28015,1.88832951,0.385856837,0.005739742,99.7733459,26.0536041,2.05257416,5.825699,44,23.2809753,38.33333333
11/23/2021 23:35:31,0.78125,0.78125,0.78125,37,37,38,1197.2804,1197.2804,1.84281266,0.3475853,0.00593461,99.77336,26.0531158,2.052536,5.825737,44,23.2809753,37.33333333
11/23/2021 23:35:32,0,0.78125,0.390625,38,38,38,1197.28027,1197.28027,1.9178046,0.430756569,0.005415105,99.77336,26.0524445,2.0524826,5.82579041,44,23.2809753,38
11/23/2021 23:35:33,0,2.30768919,1.15384459,37,37,37,1197.28015,1197.28015,1.78402984,0.2948319,0.005707897,99.7733459,26.0509949,2.05236816,5.825905,44,23.2809753,37
