,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/hdd/0/temperature/0,/hdd/0/load/0,
Time,CPU Core #1,CPU Core #2,CPU Total,CPU Core #1,CPU Core #2,CPU Package,CPU Core #1,CPU Core #2,CPU Package,CPU Cores,CPU Graphics,Bus Speed,Memory,Used Memory,Available Memory,Temperature,Used Space,
11/19/2021 02:09:38,0,2.34375,1.171875,39,39,39,1197.28418,1197.28418,1.68169916,0.210517555,0.001452378,99.77368,31.841011,2.508522,5.369751,35,10.6014633,39
11/19/2021 02:14:38,0,1.5625,0.78125,40,40,40,1197.28418,1197.28418,1.732074,0.257292181,0.001311704,99.773674,31.9229889,2.51498032,5.36329269,35,10.6015549,40
11/19/2021 02:19:38,0,1.53846145,0.7692337,35,35,35,1197.284,1197.284,1.79993892,0.3195296,0.001428821,99.773674,31.9005737,2.513214,5.365059,35,10.6016159,35
11/19/2021 02:24:38,0,2.34375,1.171875,37,37,37,1197.2843,1197.2843,1.75188434,0.273169518,0.001448973,99.7737,32.08413,2.52767563,5.35059738,35,10.6016159,37
11/19/2021 02:29:38,0,1.51515007,0.757575035,37,37,39,1197.284,1197.284,1.6892525,0.230934635,0.00139144,99.77367,32.0165329,2.52235031,5.3559227,34,10.6016769,37.66666667
11/19/2021 02:34:38,0,1.5625,0.78125,39,39,39,1197.28381,1197.28381,1.70059633,0.233064815,0.001602292,99.77365,32.0600662,2.52577972,5.35249329,35,10.6016922,39
11/19/2021 02:39:38,0,1.5625,0.78125,38,38,38,1197.28369,1197.28369,1.84811091,0.353493,0.001449367,99.77364,31.8586884,2.5099144,5.36835861,35,10.6017,38
11/19/2021 02:44:38,0,1.5625,0.78125,40,40,40,1197.28418,1197.28418,1.77234089,0.2862957,0.001490807,99.77368,31.9024124,2.513359,5.364914,35,10.601799,40
11/19/2021 02:49:38,0,1.5625,0.78125,39,39,40,1197.284,1197.284,1.704184,0.235029787,0.001514939,99.773674,31.8983,2.51303482,5.365238,35,10.6018524,39.33333333
11/19/2021 02:54:38,0,2.34375,1.171875,39,39,39,1197.28394,1197.28394,1.77612484,0.287089944,0.001504521,99.77366,31.9270554,2.51530075,5.36297226,35,10.6018524,39
11/19/2021 02:59:38,0,1.5625,0.78125,39,39,40,1197.28418,1197.28418,1.69377482,0.224674687,0.001452442,99.77368,31.9833221,2.51973343,5.35853958,35,10.6018829,39.33333333
11/19/2021 03:04:38,0,2.34375,1.171875,39,39,40,1197.28442,1197.28442,1.80011892,0.303912,0.00132706,99.7737045,31.9074936,2.51375961,5.3645134,36,10.6018906,39.33333333
11/19/2021 03:09:38,0,1.5625,0.78125,39,39,41,1197.284,1197.284,1.71181226,0.243475646,0.001440776,99.77367,32.0869,2.527893,5.35038,36,10.6019516,39.66666667
11/19/2021 03:14:38,1.5625,2.34375,1.953125,37,39,40,1197.28333,1197.28333,1.84323525,0.349079281,0.001620709,99.7736053,32.0164871,2.5223465,5.35592651,35,10.6019745,38.66666667
11/19/2021 03:19:39,0,2.34375,1.171875,39,39,40,1197.284,1197.284,1.77362764,0.283222169,0.00144898,99.773674,32.0626831,2.52598572,5.35228729,35,10.6020889,39.33333333
11/19/2021 03:24:39,1.5625,1.5625,1.5625,40,40,40,1197.2843,1197.2843,1.8731643,0.3872839,0.00129708,99.77369,32.2260056,2.53885269,5.33942032,36,10.6021194,40
11/19/2021 03:29:40,0,2.34375,1.171875,36,36,37,1197.28381,1197.28381,1.770965,0.286762267,0.001328098,99.77364,32.19487,2.53639984,5.341873,35,10.6013412,36.33333333
11/19/2021 03:34:39,1.5625,2.30768919,1.93509459,38,38,38,1197.28418,1197.28418,1.911159,0.410732716,0.001277135,99.77368,32.11387,2.53001785,5.348255,35,10.6013412,38
11/19/2021 03:39:39,0,2.34375,1.171875,39,39,39,1197.2843,1197.2843,1.79051828,0.301439345,0.001451901,99.7737,32.01799,2.52246475,5.35580826,35,10.6013641,39
11/19/2021 03:44:40,2.23881,2.28438377,2.261597,38,38,39,1197.28394,1197.28394,1.99883306,0.4844575,0.001273057,99.77366,32.0414276,2.524311,5.353962,35,10.6013947,38.33333333
11/19/2021 03:49:39,0,2.34375,1.171875,39,39,39,1197.28394,1197.28394,1.70960331,0.232421666,0.001330133,99.77366,32.1537628,2.53316116,5.345112,35,10.6014786,39
11/19/2021 03:54:39,0,1.5625,0.78125,39,39,39,1197.28394,1197.28394,1.78367436,0.305020541,0.001444874,99.77366,32.17057,2.53448486,5.343788,36,10.6015549,39
11/19/2021 03:59:39,0,1.5625,0.78125,39,39,40,1197.28442,1197.28442,1.757353,0.274060756,0.001433516,99.7737,32.1262054,2.5309906,5.34728241,36,10.601593,39.33333333
11/19/2021 04:04:39,0,4.6875,2.34375,36,35,41,1197.28418,1197.28418,1.993974,0.46483022,0.00162159,99.773674,32.1772461,2.53501129,5.34326172,36,10.6015625,37.33333333
11/19/2021 04:09:39,0,2.34375,1.171875,40,40,40,1197.28442,1197.28442,1.74745965,0.257173181,0.001643765,99.7737,32.1736679,2.534729,5.343544,36,10.601738,40
11/19/2021 04:14:39,1.5625,2.34375,1.953125,40,40,41,1197.2843,1197.2843,2.008621,0.48388052,0.001491505,99.7737,32.0759048,2.52702713,5.351246,36,10.6017838,40.33333333
11/19/2021 04:19:39,0,2.34375,1.171875,40,40,40,1197.28381,1197.28381,1.77067637,0.274812669,0.001629896,99.77365,32.1329956,2.53152466,5.34674835,36,10.6017838,40
11/19/2021 04:24:40,0.78125,3.125,1.953125,36,36,36,1197.28394,1197.28394,1.82830477,0.3583332,0.001586355,99.77366,32.24813,2.540596,5.337677,36,10.6018066,36
11/19/2021 04:29:40,0,2.34375,1.171875,39,39,39,1197.28418,1197.28418,1.68057275,0.213208362,0.001606637,99.77368,32.1732254,2.53469467,5.34357834,35,10.6018219,39
11/19/2021 04:34:40,1.53846145,1.53846145,1.53846145,39,39,40,1197.284,1197.284,1.84412122,0.3545047,0.001591727,99.77367,32.159523,2.533615,5.344658,35,10.6018677,39.33333333
11/19/2021 04:39:40,0,2.34375,1.171875,40,40,40,1197.28418,1197.28418,1.71929479,0.2400136,0.001482981,99.77368,32.121376,2.53060913,5.347664,35,10.6018829,40
11/19/2021 04:44:40,1.5625,1.5625,1.5625,39,39,40,1197.284,1197.284,1.848204,0.366969675,0.001440167,99.773674,32.0418625,2.5243454,5.35392761,35,10.6019363,39.33333333
11/19/2021 04:49:40,0,1.5625,0.78125,40,40,40,1197.28455,1197.28455,1.70255256,0.23006846,0.001500613,99.77371,32.1516342,2.53299332,5.34527969,35,10.6019821,40
11/19/2021 04:54:40,0,1.5625,0.78125,40,40,41,1197.28418,1197.28418,1.71236169,0.239783436,0.001327637,99.77368,32.15648,2.53337479,5.344898,36,10.60199,40.33333333
